Scan Type,Description,Selected,Lock Edit,Vertex Count,Vertex List,Preablation Settings,Ablation Settings,Data
Spot,K10-7,1,0,1,"8211.00,17494.00,16143.00",Dosage=1;DwellTime=1.00;LineSpacing=100.00;Laser.Output=100.00;Laser.Fluence=10.59;LineScanMode=1;PassCount=1;Laser.RepRate=7.00;ScanSpeed=5.00;PassEnabled=0;ShotCount=10;SpotSpacing=100.00;Laser.SpotSize=15�m Circle;Laser.SpotRotation=0.00,Dosage=0;DwellTime=1.00;LineSpacing=0.00;Laser.Output=100.00;Laser.Fluence=10.59;LineScanMode=1;PassCount=1;Laser.RepRate=8.00;ScanSpeed=0.00;PassEnabled=1;ShotCount=520;SpotSpacing=0.00;Laser.SpotSize=40�m Circle;Laser.SpotRotation=0.00,
Spot,K10-8,1,0,1,"8201.00,17533.50,16143.00",Dosage=1;DwellTime=1.00;LineSpacing=100.00;Laser.Output=100.00;Laser.Fluence=10.59;LineScanMode=1;PassCount=1;Laser.RepRate=7.00;ScanSpeed=5.00;PassEnabled=0;ShotCount=10;SpotSpacing=100.00;Laser.SpotSize=15�m Circle;Laser.SpotRotation=0.00,Dosage=0;DwellTime=1.00;LineSpacing=0.00;Laser.Output=100.00;Laser.Fluence=10.59;LineScanMode=1;PassCount=1;Laser.RepRate=8.00;ScanSpeed=0.00;PassEnabled=1;ShotCount=520;SpotSpacing=0.00;Laser.SpotSize=40�m Circle;Laser.SpotRotation=0.00,
Spot,K10-9,1,0,1,"7885.50,17405.50,16143.00",Dosage=1;DwellTime=1.00;LineSpacing=100.00;Laser.Output=100.00;Laser.Fluence=10.59;LineScanMode=1;PassCount=1;Laser.RepRate=7.00;ScanSpeed=5.00;PassEnabled=0;ShotCount=10;SpotSpacing=100.00;Laser.SpotSize=15�m Circle;Laser.SpotRotation=0.00,Dosage=0;DwellTime=1.00;LineSpacing=0.00;Laser.Output=100.00;Laser.Fluence=10.59;LineScanMode=1;PassCount=1;Laser.RepRate=8.00;ScanSpeed=0.00;PassEnabled=1;ShotCount=520;SpotSpacing=0.00;Laser.SpotSize=40�m Circle;Laser.SpotRotation=0.00,
Spot,K10-10,1,0,1,"7844.50,17462.00,16143.00",Dosage=1;DwellTime=1.00;LineSpacing=100.00;Laser.Output=100.00;Laser.Fluence=10.59;LineScanMode=1;PassCount=1;Laser.RepRate=7.00;ScanSpeed=5.00;PassEnabled=0;ShotCount=10;SpotSpacing=100.00;Laser.SpotSize=15�m Circle;Laser.SpotRotation=0.00,Dosage=0;DwellTime=1.00;LineSpacing=0.00;Laser.Output=100.00;Laser.Fluence=10.59;LineScanMode=1;PassCount=1;Laser.RepRate=8.00;ScanSpeed=0.00;PassEnabled=1;ShotCount=520;SpotSpacing=0.00;Laser.SpotSize=40�m Circle;Laser.SpotRotation=0.00,
Spot,K10-11,1,0,1,"7694.50,17412.00,16143.00",Dosage=1;DwellTime=1.00;LineSpacing=100.00;Laser.Output=100.00;Laser.Fluence=10.59;LineScanMode=1;PassCount=1;Laser.RepRate=7.00;ScanSpeed=5.00;PassEnabled=0;ShotCount=10;SpotSpacing=100.00;Laser.SpotSize=15�m Circle;Laser.SpotRotation=0.00,Dosage=0;DwellTime=1.00;LineSpacing=0.00;Laser.Output=100.00;Laser.Fluence=10.59;LineScanMode=1;PassCount=1;Laser.RepRate=8.00;ScanSpeed=0.00;PassEnabled=1;ShotCount=520;SpotSpacing=0.00;Laser.SpotSize=40�m Circle;Laser.SpotRotation=0.00,
Spot,K10-12,1,0,1,"7694.00,17360.00,16143.00",Dosage=1;DwellTime=1.00;LineSpacing=100.00;Laser.Output=100.00;Laser.Fluence=10.59;LineScanMode=1;PassCount=1;Laser.RepRate=7.00;ScanSpeed=5.00;PassEnabled=0;ShotCount=10;SpotSpacing=100.00;Laser.SpotSize=15�m Circle;Laser.SpotRotation=0.00,Dosage=0;DwellTime=1.00;LineSpacing=0.00;Laser.Output=100.00;Laser.Fluence=10.59;LineScanMode=1;PassCount=1;Laser.RepRate=8.00;ScanSpeed=0.00;PassEnabled=1;ShotCount=520;SpotSpacing=0.00;Laser.SpotSize=40�m Circle;Laser.SpotRotation=0.00,
Spot,K10-13a,1,0,1,"7495.00,17375.50,16143.00",Dosage=1;DwellTime=1.00;LineSpacing=100.00;Laser.Output=100.00;Laser.Fluence=10.59;LineScanMode=1;PassCount=1;Laser.RepRate=7.00;ScanSpeed=5.00;PassEnabled=0;ShotCount=10;SpotSpacing=100.00;Laser.SpotSize=15�m Circle;Laser.SpotRotation=0.00,Dosage=0;DwellTime=1.00;LineSpacing=0.00;Laser.Output=100.00;Laser.Fluence=10.59;LineScanMode=1;PassCount=1;Laser.RepRate=8.00;ScanSpeed=0.00;PassEnabled=1;ShotCount=520;SpotSpacing=0.00;Laser.SpotSize=40�m Circle;Laser.SpotRotation=0.00,
Spot,K10-13b,1,0,1,"7503.00,17317.00,16143.00",Dosage=1;DwellTime=1.00;LineSpacing=100.00;Laser.Output=100.00;Laser.Fluence=10.59;LineScanMode=1;PassCount=1;Laser.RepRate=7.00;ScanSpeed=5.00;PassEnabled=0;ShotCount=10;SpotSpacing=100.00;Laser.SpotSize=15�m Circle;Laser.SpotRotation=0.00,Dosage=0;DwellTime=1.00;LineSpacing=0.00;Laser.Output=100.00;Laser.Fluence=10.59;LineScanMode=1;PassCount=1;Laser.RepRate=8.00;ScanSpeed=0.00;PassEnabled=1;ShotCount=520;SpotSpacing=0.00;Laser.SpotSize=40�m Circle;Laser.SpotRotation=0.00,
Spot,IQ2-1,1,0,1,"12978.50,16488.50,16143.00",Dosage=1;DwellTime=1.00;LineSpacing=100.00;Laser.Output=100.00;Laser.Fluence=10.59;LineScanMode=1;PassCount=1;Laser.RepRate=7.00;ScanSpeed=5.00;PassEnabled=0;ShotCount=10;SpotSpacing=100.00;Laser.SpotSize=15�m Circle;Laser.SpotRotation=0.00,Dosage=0;DwellTime=1.00;LineSpacing=0.00;Laser.Output=100.00;Laser.Fluence=10.59;LineScanMode=1;PassCount=1;Laser.RepRate=8.00;ScanSpeed=0.00;PassEnabled=1;ShotCount=520;SpotSpacing=0.00;Laser.SpotSize=40�m Circle;Laser.SpotRotation=0.00,
Spot,IQ2-2,1,0,1,"12965.00,16433.00,16143.00",Dosage=1;DwellTime=1.00;LineSpacing=100.00;Laser.Output=100.00;Laser.Fluence=10.59;LineScanMode=1;PassCount=1;Laser.RepRate=7.00;ScanSpeed=5.00;PassEnabled=0;ShotCount=10;SpotSpacing=100.00;Laser.SpotSize=15�m Circle;Laser.SpotRotation=0.00,Dosage=0;DwellTime=1.00;LineSpacing=0.00;Laser.Output=100.00;Laser.Fluence=10.59;LineScanMode=1;PassCount=1;Laser.RepRate=8.00;ScanSpeed=0.00;PassEnabled=1;ShotCount=520;SpotSpacing=0.00;Laser.SpotSize=40�m Circle;Laser.SpotRotation=0.00,
Spot,IQ2-3,1,0,1,"13120.50,16522.50,16143.00",Dosage=1;DwellTime=1.00;LineSpacing=100.00;Laser.Output=100.00;Laser.Fluence=10.59;LineScanMode=1;PassCount=1;Laser.RepRate=7.00;ScanSpeed=5.00;PassEnabled=0;ShotCount=10;SpotSpacing=100.00;Laser.SpotSize=15�m Circle;Laser.SpotRotation=0.00,Dosage=0;DwellTime=1.00;LineSpacing=0.00;Laser.Output=100.00;Laser.Fluence=10.59;LineScanMode=1;PassCount=1;Laser.RepRate=8.00;ScanSpeed=0.00;PassEnabled=1;ShotCount=520;SpotSpacing=0.00;Laser.SpotSize=40�m Circle;Laser.SpotRotation=0.00,
